fecha,servicio_nombre,sexo,ocupados,egresos,fallecidos,referido,traslado,contraindicados,otro_ingresos,ingresos,huespedes,emergencia
2026-01-01,MEDICINA,0,4,1,0,0,0,0,2,1,0,3
2026-01-01,MEDICINA,1,7,1,0,0,0,0,1,1,0,3
2026-01-01,CIRUGIA,0,11,2,0,0,0,0,5,1,0,0
2026-01-01,CIRUGIA,1,3,0,0,0,0,0,1,0,0,0
2026-01-01,PEDIATRIA,0,8,1,0,0,0,0,2,2,0,0
2026-01-01,PEDIATRIA,1,13,4,0,0,0,0,4,2,0,0
2026-01-01,UCIA,0,1,0,0,0,0,0,0,0,0,0
2026-01-01,UCIA,1,2,1,0,0,0,0,2,1,0,0
2026-01-01,NEONATOS,0,3,1,0,0,0,0,1,1,0,0
2026-01-01,NEONATOS,1,0,0,0,0,0,0,0,0,0,0
2026-01-01,UCIN,0,5,0,0,0,0,0,1,1,0,0
2026-01-01,UCIN,1,6,0,0,0,0,0,1,1,0,0
